tweet_id,issue,text,author,label
80,aca,RT @repsandylevin: 20 mn Americans who were previously uninsured are now covered thanks to the Affordable Care Act! #20MillionStrong ,democrat,8
1156,guns,RT @repjohnlewis: Do we have the courage? Do we have raw courage to at least make a down payment on ending gun violence in America? #holdth…,democrat,17
1425,aca,Afternoon Read: Everything you need to know about #obamacare rulings and decisions before Wednesday ,republican,16
1507,abort,Rep. Messer urges colleagues to defund Planned Parenthood:  via @YouTube,republican,13
1384,aca,We should ask what small business health insurance markets should look like in the future and  how we get there. ,republican,1
408,isis,The Visa Waiver Program has loopholes that would allow those who recently visited Iraq and Syria to come to the U.S. with minimal screening.,republican,13
27,lgbt,ICYMI: Cantwell is calling for @usedgov to clarify legal protections for transgender middle/HS/college students ,democrat,5
1063,guns,RT @CSimmons3866: Domestic abusers would immediately surrender firearms ,democrat,7
1637,lgbt,Celebrating #PrideMonth this June to honor tremendous contributions of NM's #LGBT community. Let's recommit to fairness and  #EqualityForAll.,democrat,4
1535,aca,Congress is coming to Greenfield  IN Sept. 4th!  Check out this link for more details:   #obamacare #ACA,republican,16
1867,immig,A lot happened this week.  FBI reversed on transcript. SCOTUS blocked POTUS amnesty. House passed anti-Zika bill,republican,13
63,guns,The #ASKCampaign encourages parents to ask if there is an unlocked gun in the places that their children play.,democrat,7
1659,guns,RT @HASCDemocrats: Dropping another 100 000 handguns out there is not something @DeptofDefense wants to do and  not something Congress should…,democrat,12
625,lgbt,On #TransDayofVisibility we celebrate how far #trans cmty has come and  vow 2 strengthen fight to end transphobia #morethanvisibility #equality,democrat,4
661,immig,Senate will debate legislation to stop #SanctuaryCities that I cosponsored b/c immigration laws must be enforced: ,republican,12
1354,isis,.@StateDept and  @DHSgov should pause Syrian refugee program until authorities can detect fake ISIS passports. ,republican,7
160,lgbt,Joined 210 of my colleagues in urging #SupremeCourt to ensure equal marriage rights for married couples #LoveCantWait ,democrat,5
1788,guns,TMRW: @RepTedDeutch @RepMurphyFL and  I call for closing #NoFlyNoBuy and  #GunShow #loopholes in wake of #Orlando. #sayfie ,democrat,13
114,isis,My thoughts and prayers are with Paris tonight. Keeping the families of those lost close to my heart. #Prayers4Paris,democrat,17
1761,guns,#LGBT people everywhere still reeling from worst mass shooting in history. Know that #WeAreWithYou,democrat,11
1986,aca,I will vote to #RepealObamacare and prevent $1 trillion in new taxes over the next decade. #healthcare #Obamacare ,republican,1
1390,guns,The ATF thinks they need to know your race/ethnicity for the purchase of firearms. Intro'd bill to end this practice. ,republican,4
1700,lgbt,Recent actions in Indiana and  Arkansas made clear that Congress must act to protect #LGBT Americans from discrimination ,democrat,4
1403,isis,TUNE IN: @jiminhofe will be on @MTPDaily at 5:15PM ET to discuss the terrorist attacks on Paris  how US should respond.,republican,16
1071,isis,About to go on @MSNBC to talk terrorism in Europe. Teenage social media advisor in background. ,democrat,16
1123,isis,$100 million -- that's how much the United States is set to provide Syria in additional taxpayer aid -- bringing... ,republican,1
1527,aca,RT @IndyPoliticsOrg: Tonight at 6 @93wibc @RepLukeMesser on #ISIS and ACA impact on #IN local governments.,republican,13
889,guns,The Obama Administration's censorship of the #Orlando 911 transcript is absurd. Americans deserve the facts. ,republican,12
656,isis,I am demanding answers from @POTUS on plan to keep U.S. safe  refuse admittance to ISIL through refugee flow. ,republican,7
1256,aca,RT @SpeakerRyan: Next week  we will release a plan to not just repeal  but also replace  #Obamacare. #BetterWay ,republican,12
1562,aca,Prenatal health care plays a crucial role in reducing risk and  promoting health in women and  infants. #HerHealth,democrat,8
1979,isis,GOP senators to #Obama: Here’s how we could beat #ISIS via @thehill @Rebecca_H_K ,republican,12
429,guns,RT @TheeWolfe:  I think this might turn out to be a Selma-like moment for gun violence.  Rep Sander Levin to @RepJohnConyers #TurningPoint…,democrat,11
554,aca,The bill on the floor right now is a deliberate and systematic attempt to undermine the Affordable Care Act. We will not go back.,democrat,13
1644,aca,Great @ABQJournal article on the importance of smart investments in #telemedicine to expand #rural health care access ,democrat,8
370,isis,CIA Director John Brennan updating Senate Intelligence Committee on the fight against ISIS  global terrorism. Watch: ,democrat,7
194,guns,Voted tonight to keep terrorists from purchasing guns without infringing on the rights of law-abiding citizens: ,republican,5
1103,isis,The FBI wants Apple’s help to unlock the iPhone of one of the San Bernardino terrorists. Apple CEO Tim Cook... ,republican,15
1550,guns,RT @repjohnlewis: We are one people  one family  one America. We must come together to fight the senseless plague of gun violence. ,democrat,10
1102,isis,Time to call the slaughter of Christians by ISIS what it is - GENOCIDE! The Obama Admin needs to act and do the same ,republican,3
704,isis,While most refugees are innocent people in dire situations...,republican,10
556,immig,I commend @Delta for their statement supporting the humane reforms made by President Obama to our immigration system. ,democrat,12
1710,immig,Republicans refusal to #FundDHS simply to undermine the President’s immigration polices is highly irresponsible #DontShutDownOurSecurity,democrat,12
334,guns,We cannot ignore the reality that our current gun safety laws do not keep us safe. #Orlando,democrat,7
318,guns,'sted of distracting frm their opp. to sensible gun safety steps  GOP should back steps to actually help protect us ,democrat,7
382,lgbt,June is dedicated to the unwavering commitment of those who advocate for LGBT #EqualRights.  #LGBTPrideMonth,democrat,4
905,guns,DC demonstrates why Constitutional rights need constant vigilance - this gun regulation is in no way Constitutional. ,republican,5
1266,isis,POTUS wants to move #Guantanamo terrorists to the USA despite having signed a law prohibiting such an action. ,republican,5
1373,aca,#Obamacare has never worked. Time to #RepealObamacare.  ,republican,12
380,guns,Saddened to learn about the terrible mass shooting in Tel Aviv. I’ll be monitoring the situation and specific links to terrorism closely.,democrat,17
740,guns,My thoughts and prayers are with those affected by the tragedy on the UCLA campus today.,democrat,17
992,aca,RT @KTVZ: Video: Rep. Greg Walden back in C. Oregon for another visit  talking about topics from timber to tech to health care ,republican,16
1258,aca,Ohio=13th failed #Obamacare CO-OP despite   $129 mil in loans from fed. govt. We need real solutions like #HR2300 ,republican,13
372,isis,(2/3) Between February 2004 and December 2015  known or suspected terrorists passed a background check on 2 265 of 2 477 attempts.,democrat,15
1226,immig,RT @HouseAppropsGOP: .@JudgeCarter and  @RepHalRogers commend @DHSgov Sec. Johnson on budget that supports vital frontline and  border sec ops ht…,republican,1
2041,aca,There will be an Affordable Care Act Enrollment Fair in McAllen this Thursday  December 11th at the McAllen... ,democrat,16
207,abort,I introduced a short-term CR to continue funding government operations and prohibit funding for Planned Parenthood: ,republican,13
982,isis,Bill passed by the House today requires POTUS to lay out a plan to combat terrorist use of social media:  ,republican,13
2032,aca,#PeopleOverPolitics is about millions of Americans who have peace of mind today because of the Affordable Care Act. ,democrat,9
136,aca,RT @PattyMurray: #OTD 1 year ago  women were told that their health care decisions and  benefits ARE their boss’s business #HobbyLobby ,democrat,4
395,aca,With @CoveredCA’s Peter Lee discussing the status of Affordable Care Act implementation in California. #ACAWorks ,democrat,13
1395,aca,After 5-years of #Obamacare we are left with a law that has created more government  more bureaucracy and  more red tape ,republican,5
371,guns,Introduced a common-sense amendment today to keep guns out of the hands of terrorists.  #EndGunViolence #Enough,democrat,7
1856,aca,RT @RepByrne: Learn more about the #BetterWay alternative to #Obamacare from @RepKevinBrady:  ,republican,16
1925,isis,Read the brief we filed in today’s #SCOTUS case affecting #RI families of 1983 #Beirut bombing victims ,democrat,16
1184,abort,Too many women have to cross state borders to access safe abortions. We need to #KeepClinicsOpen so all women can exercise their #reprorights,democrat,4
520,guns,MORNING READ: Congress' refusal to consider even minimal gun reforms threatens American lives and nat'l security #Enough ,democrat,7
351,isis,The terror gap can be closed while protecting everyone’s right to due process.  #Enough ,democrat,5
1191,isis,There are many different ways Congress can address #ISIL threat. But surely we can all agree that using a 15yr old AUMF isnt smart strategy?,democrat,12
775,abort,Thank you #SCOTUS for protecting women's health in Texas.,democrat,4
1620,immig,ICYMI—funding bill includes $85.6 million I secured for much-needed Columbus border crossing facility modernization. ,democrat,1
1098,immig,The Supreme Court has shut down President Obama's amnesty plan! Yet another Obama executive overreach #sayfie ,republican,5
690,aca,Once again  @POTUS's promise that premiums would fall $2 500 has been broken. #Obamacare ,republican,13
805,isis,Listen to my latest radio address about the need for U.S. leadership in wake of #ISIS attacks in #Paris  #Beirut. ,republican,14
1181,guns,RT @RepCorrineBrown: We are #OrlandoStrong in the face of this act of hate and terror. As we mourn  we must turn our grief into action.,democrat,11
995,aca,Glad the Hire More Heroes Act is now law. Helps #veterans find jobs and limits #Obamacare mandates for employers.,republican,13
1433,aca,“ObamaCare: Gruber apologizes but White House still lying about health care law” via @Betsy_McCaughey ,republican,12
1714,aca,RT @WhiteHouseAAPI: How the #ACA helps the AAPI community. #GetCovered #AAPIhealth #YoEnroll ,democrat,16
568,guns,My thoughts and prayers are with all of the citizens of Metro Atlanta and the State of Georgia.,democrat,17
1200,isis,RT @HouseAppropsGOP: .@RepHalRogers: Bill protects our constitutional rights  keeps us safe from terrorists  and preserves the sanctity of…,republican,5
549,guns,I’ve been to Charleston many  many times. I have spoken in many of these churches  and this makes my heart hurt. I feel like crying.,democrat,17
909,guns,From @WSJ:  Insurers have begun to propose big premium increases for coverage next year,republican,1
17,guns,It is clear the country wants us to take action to end gun violence. We must do it together. #EnoughGunViolence,democrat,11
960,abort,I am proud to be pro-life and I am proud to oppose federal funding for Planned Parenthood. (2/2),republican,2
501,immig,Lisette’s story shows that Donald Trump has it backwards – immigrants don’t hurt our country  they make it stronger,democrat,9
435,isis,RT @RepEsty: .@SpeakerRyan  #NoBillNoBreak! American people expect us to take action to protect them from suspected terrorists and  criminals.…,democrat,11
182,guns,POTUS exec. order on guns is a gross overreach of power that tramples on the rights of law abiding Americans and our Constitution #LA05,republican,12
1423,isis,HAPPENING NOW: SASC hearing on Middle East Policy ,republican,16
623,isis,Visited #Iraq last wk w/ colleagues and  spent time visiting w/ brave US Embassy employees and  troops serving in #Baghdad ,democrat,14
1436,isis,Pray for our Okla Tinker units deploying to fight ISIS in the Middle East #SupportOurTroops  ,republican,17
849,aca,Residents of #Flint—quality health care can help with lead exposure. Visit  to #GetCovered before Jan. 31 deadline.,democrat,8
232,aca,Despite WH cheerleading  costly uncertainty looms. via @Heritage States Begin to Face Overwhelming #Obamacare Reality ,republican,13
1711,immig,Republicans are holding @DHSgov hostage in attempt to achieve extreme immigration policies #DontShutDownOurSecurity ,democrat,12
506,guns,Weak gun laws at the federal level and  in neighboring states make it too easy for guns to end up in dangerous hands here in Chicago.,democrat,7
1833,isis,.@SenateMajLdr McConnell made the following statement regarding the terrorist attacks in #Brussels: ,republican,16
61,guns,RT @WhipHoyer: House Republicans turned off the cameras on the Floor  but Democrats will continue sit-in to demand vote on gun violence,democrat,12
1296,aca,ICYMI: Interesting read from the @WSJ re: innovative solutions to health care challenges. #RestoringTheTrust ,republican,16
338,guns,Leahy on Orlando Tragedy: I stand with the LGBT community and  with all Americans who are shaken by this hateful act of terrorism and violence.,democrat,4
703,isis,unfortunately we presently have no fully reliable way of vetting those who come from chaotic terrorist havens such as Syria.,republican,13
87,immig,. @theobserver shares stories of Central American teens detained by ICE and  their struggle w/ our immigration system ,democrat,16
496,guns,Great speaking w/ you  @LeslieMarshall  abt common sense measures we can take to end gun violence in our communities ,democrat,12
1132,aca,Do you support/oppose the President's new mandate requiring faith-based employers to provide contraception in their health care coverage?,republican,13
1537,isis,I #standwithisrael and its right to defend itself against terrorists. VIDEO:  ,republican,17
1223,isis,RT @HouseAppropsGOP: .@RepHalRogers: We increased funding for DOJ by $852M to help root out and fight back against terrorists  criminals an…,republican,2
1279,aca,ICYMI: Check out Sunday's interview with @FoxNews on 2016  budgets  national security and  #Obamacare ,republican,16
121,abort,African American women are more likely to die from breast and  cervical cancer-why try strip away critical preventive services? #IStandWithPP,democrat,4
53,guns,Today we celebrate #LGBTEquality and honor those whose lives were lost in Orlando. #OrlandoUnited ,democrat,4
1300,immig,RT @arkansasnews: Arkansans react to U.S. Supreme Court ruling on immigration ,republican,11
147,aca,Its #WorldSickleCellDay - Interesting article on how the disease highlights racial disparities in healthcare ,democrat,4
460,aca,RT @RevJJackson: We need jobs  justice healthcare and  development. @rolandsmartin #RolandSmartinShow #StopTheViolence #SaveTheChildren,democrat,9
2048,aca,There is an ACA Enrollment Fair in Falfurrias from 8am-5pm on Wednesday  November 19  2014  for those looking for... ,democrat,16
1091,guns,Question 6  Congress: if I'm on the terrorism watch list  how come I can still buy a gun? #SanBernadino,democrat,2
769,aca,Earth to GOP: Women don't need Republican Senators to define what is  legitimate  health care to them. They know.  ,democrat,4
376,guns,Appeared on @NewsHour last night to discuss the Orlando terrorist attack and keeping guns out of terrorists’ hands. ,democrat,7
1428,immig,INHOFE: Granting amnesty to roughly 5 million individuals who have broken the law will only encourage more to flood our porous borders.,republican,3
442,guns,Read my full statement on #Orlando shootings here: ,democrat,16
1753,guns,RT @RepKClark: .@SpeakerRyan  we should be voting on gun violence prevention legislation to keep Americans safe. #NoBillNoBreak ,democrat,7
1165,guns,Welcome to Alameda and  thank you for your activism! By raising our voices and  mobilizing communities  we can #DisarmHate ,democrat,11
411,isis,Victims of Iranian terrorism deserve justice. #NotOneCent ,republican,6
1462,guns,Joined @Jorge_Elorza @RICAGV1 @MomsDemand and  more at #WearOrange rally to #DemandAction to help end #GunViolence. ,democrat,16
1980,isis,9:30am: Senate Armed Services Comm hearing on US strategy to counter Islamic State and  our policy toward Iraq and  #Syria ,republican,14
255,guns,Sit or stand but we cannot be silent for victims of gun violence - we need to take action. #NoBillNoBreak ,democrat,3
848,aca,My bill will expand access to health care by helping Medicare cover innovative and  affordable telehealth services ,democrat,8
800,aca,RT @SenateMajLdr: More bad news for #Obamacare and it's #brokenpromises. CBO projects 2 million fewer jobs under ObamaCare ,republican,1
235,isis,Americans deserve to know all that went wrong with #Benghazi and WH handling of that terrorist attack:  @dcexaminer,republican,11
1281,aca,A patient-centered health care system relies on the principles of quality and responsiveness. ,republican,8
1668,isis,RT @jasonrantz: Tonight at 8:32p on @KIRORadio: @RepAdamSmith on #SyrianRefugees  whether #ISIS is  contained  and   radical Islam  language. …,democrat,3
708,isis,Like all of the radical Islamic terror movements  if #Iran is able to inflict harm on Americans  it will do so. ,republican,3
969,immig,Here’s my statement on the President's immigration address: ,republican,16
891,isis,We need to focus our efforts on the problem of terrorists radicalizing Americans. ,republican,3
744,guns,Sending my thoughts and prayers to the people of Lahore. Truly sickening to see children and  families targeted. Terrorism will never prevail.,democrat,17
1743,immig,RT @WhipHoyer: .@HouseDemocrats' Twitter Town Hall on immigration begins at 3 pm. Follow along at  #TimeisNow ,democrat,16
1866,aca,RT @EdWorkforce: .@HouseGOP health care plan will expand affordable coverage options for #smallbiz and  their employees ,republican,13
368,isis,Read my @USAToday op-ed on an amendment the Senate will vote on today to prevent terrorists from purchasing guns: ,democrat,7
352,guns,Closing terror gap would keep guns from terrorists  not average Americans.   #Enough ,democrat,7
23,guns,We overcome these tragedies through service to each other.  Here's how you can help #pulse #orlando ,democrat,10
616,lgbt,Proud to stand with @usedgov and  @TheJusticeDept for standing up for #transgender students' rights. All children must feel welcomed and equal,democrat,17
1719,immig,The vote today shows Republicans’ priorities on #immigration are to obstruct progress and to rip families apart #CIR ,democrat,9
384,isis,(1/3) It's the 21st anniversary of the #OKCBombing—one of the worst terrorist attacks in our history. We remember the 168 killed.,democrat,17
1615,guns,I'm grief-stricken by the news fr Orlando-yet another mass shooting  the worst in US history. The victims and  their families are in my prayers,democrat,17
2012,isis,My remarks at today's CHC Press Conference regarding the ICE raids of Central American refugees ,democrat,16
1651,lgbt,LGBT Equality Day celebrates #SCOTUS victories on June 26th in 2003  2013 and  2015 for #LGBTEquality #loveislove ,democrat,4
245,abort,Today's @SCOTUS ruling is an important victory for the rights of America’s women  but challenges remain #StopTheSham ,democrat,4
492,guns,Too many guns are getting into the hands of dangerous people and that must change–we won’t stop pushing these reforms until they do #NoFlyNoBuy,democrat,7
1518,immig,Join me and @AHSWIBC on @93wibc tonight at 6:05. We're talking #SOTU2015 #ImmigrationReform and #ForeignPolicy,republican,16
574,aca,I wonder if all of my colleagues know what repeal would mean. The #ACA is the law of the land and repeal would hurt my constituents in GA,democrat,13
697,isis,Today’s news about a Harrisburg man allegedly supporting ISIS is another wake-up call about the spread of violent Islamist extremism. 1/2,republican,3
852,aca,Quality health care can help lead exposure—Families in #Flint  make sure you’re covered by Jan 31 deadline. Visit ,democrat,8
1475,aca,Proud RI is leading the way in children's healthcare coverage. # of uninsured kids down nearly 40% @ProJo:  #ACAWorks,democrat,8
1106,isis,ISIS bomber who killed 10 in #Istanbul entered Turkey as a refugee. WH must impose a ban on Syrian refugees now! ,republican,14
1221,aca,RT @HouseAppropsGOP: .@RepHalRogers: Bill supports proven  effective programs covering workplace safety  rural health care and early childh…,republican,13
1432,abort,“Oklahoma abortion doctor's case highlights need for oversight” via ,republican,3
1684,guns,My thoughts are with the friends and  families of the victims  and the entire Charleston community.,democrat,17
1747,aca,Expanding Medicaid through #ACA in WA State will lead to 64k more people being insured  #PeopleOverPolitics,democrat,8
1946,lgbt,I stand w/ #RI’s #LGBT community in applauding today's historic decision. Regardless of sexual orientation  we're equal under law. #LoveWins,democrat,5
1021,aca,#Obamacare dropping full-timers at schools  local governments. Click here to learn the latest:  #FairnessForAll,republican,13
1692,immig,#DREAMers who want to serve our country must be treated as the true Americans they are #LetDREAMersServe #FY16NDAA  …,democrat,10
1017,aca,RT @HouseCommerce: ReTweet to tell @whitehouse #GOP does have #healthcare solutions  #FairnessForAll,republican,12
1618,isis,Good  smart qs on energy education Syria and  more fr S NM h. school students @ today's Student Leadership Institute ,democrat,16
331,isis,Terror gap threat is real. We must prevent those on terror watchlist out to harm us from buying weapons. #ENOUGH  ,democrat,7
1533,aca,RT @ToddRokita: Read @RepLukeMesser’s op-ed on tomorrow’s #ObamaCare hearing at ,republican,16
226,aca, Unhappy Anniversary:  Marks Its First Anniversary  via @Senate_GOPs  #Obamacare #BrokenPromises,republican,16
1583,immig,RT @SenateApprops: Here is video of Chairwoman @SenatorBarb talking about #veteransaffairs and  Iron Dome  wildfires and  border funding:  ,democrat,16
730,immig,Today’s #SCOTUS decision is a nightmare scenario for millions of families  our economy and the values for which America has always stood.,democrat,10
875,abort,Instead of fighting over defunding women's health services  let's start bipartisan budget talks and  avoid another shutdown. #TimeToNegotiate,democrat,4
1912,aca,Celebrated @BradleyHospital's $33K funding boost today and  discussed how to address gaps in kids' mental health care. ,democrat,8
420,guns,My prayers and sympathy go out to those killed in the senseless shooting in Charleston  S.C.  and to their families and friends.,republican,17
1306,guns,Earlier this morning  I joined @HughHewitt to discuss Sunday’s terrorist attack in #Orlando. LISTEN: ,republican,16
491,isis,To stop terrorism  we must start at home by keeping deadly weapons out of the hands of terrorists #NoFlyNoBuy ,democrat,7
925,isis,On Easter  Radical Islamic terrorists attacked women and  kids in Pakistan for being Christian. Please pray for the victims.,republican,3
40,isis,Rights and  dignity belong to all people—including Muslim  Arab  Middle Eastern  South Asian  Sikh  and Hindu Americans ,democrat,3
321,guns,Hard to fathom  or excuse  the Senate GOP's lack of courage on sensible steps on gun safety  OVERWHELMINGLY backed by the people. #Enough,democrat,11
1489,guns,Hate and  violence have no place in our society. My thoughts and  prayers with victims of the #CharlestonShooting  their families and  the community.,democrat,17
1416,aca,Obamacare is broken. #SCOTUS Read more here →  ,republican,12
1957,guns,The @WhiteHouse should release the full transcript so Americans know who did this and why. #Orlando  ,republican,12
724,immig,including stronger border security and adequate opportunities for legal immigration.,republican,7
1500,aca,RT @HeritageOTH: Insurance giant @UnitedHealthGrp is leaving most #Obamacare exchanges next year. What's the significance? More here. ,republican,16
1595,isis,I stand w @SenatorCollins in applauding UN Security Council adding Boko Haram to int’l terror list  #BringBackOurGirls,democrat,16
791,aca,Six years after being signed into law  #Obamacare is still unaffordable and unworkable for far too many Americans. ,republican,13
187,guns,.@Guns_com featured my bill to stop Pres. Obama's Social Security gun grab. Read more here:  #LA05,republican,12
1194,lgbt,Millions of #LGBT people face hatred  discrimination and  violence every day. Know that you are not alone; #WeAreWithYou. #IDAHOT,democrat,4
915,immig,RT @PatrickMcHenry: Critical day for our #Constitution as #USvTX is argued at #SCOTUS. @HouseGOP has acted to ensure our voice is heard: ht…,republican,5
430,guns,RT @JannaShoe: @RepJohnConyers thank you sir for standing up for Americans who want gun violence to end. Be of good courage as scripture te…,democrat,16
742,abort,RT @PattyMurray: It’s only becoming clearer that this investigation is short on facts and long on politics. #StandWithPP ,democrat,12
1634,guns,Words can't express the deep sadness I feel for the victims in Charleston. Jill and I have the Emanuel AME family in our prayers.,democrat,17
200,aca,10am Webcast: @RoyBlunt chairs Sen. Labor-HHS Approps hearing on FY17 @HHSgov budget request. @SecBurwell testifies. ,republican,16
1315,isis,I introduced a #NDAA amendment calling for a full declassification review of #GTMO detainees’ terrorist activity ,republican,13
1606,guns,Headed to the House to join my @HouseDemocrats colleagues in solidarity and  demand a vote on #NoFlyNoBuy #Enough #DisarmHate,democrat,12
76,isis,RT @RepWilson: 2 yrs later  we haven’t forgotten the #ChibokGirls abducted by Boko Haram. Every day until their return we will call: #Bring,democrat,3
1519,immig,RT @mwarner95: Good to hear @RepLukeMesser this morning on @93wibc with @tonykatz in response to the President's immigration plan.,republican,12
444,guns,My thoughts and prayers go out to the family and friends of those lost and all who were impacted by the #Orlando shooting.,democrat,17
433,guns,RT @RepThompson: .@SpeakerRyan we can't leave until we vote on commonsense gun legislation Americans are calling for! #NoBillNoBreak ,democrat,11
1232,immig,RT @HouseAppropsGOP: .@RepHalRogers: Legislation prioritizes frontline operations  round-the-clock border surveillance  law enforcement and  d…,republican,7
614,lgbt,Disgusting that @HouseGOP is using Nat'l Security bill to discriminate against #LGBT community. Speaking shortly ,democrat,12
790,isis,RT @SenatorKirk: Thanks to Sailors aboard @USSHARRYSTRUMAN for your service and  for keeping #Americans safe from the threat of #ISIS ,republican,7
173,abort,The women of the House know that a woman who does not own or control her own body cannot call herself free. #RoevWade #StopHR7 #Roe42,democrat,5
98,abort,A woman’s reproductive decision-making should not depend on her location or financial situation. #ReclaimRoe,democrat,4
1324,isis,RT @SenateGOP:  We live in a dangerous world ... [terrorist attacks] across the world make this all too clear.  – @SenTomCotton ,republican,7
594,guns,It is unconscionable if @HouseGOP leaves this week without a vote on #NoFlyNoBuy bill. #DisarmHate #NoBillNoBreak ,democrat,12
1568,guns,Standing shoulder to shoulder on steps of US Capitol to demand action to #StopGunViolence! ,democrat,12
526,guns,Do we have the courage? Do we have raw courage to at least make a down payment on ending gun violence in America? #holdthefloor #goodtrouble,democrat,17
543,guns,There are just too many guns available in this country that get into the hands of sick people  angry people  and irresponsible people.,democrat,7
954,isis,ICYMI video of my exchange w @CENTCOM’s Gen. Austin on fight against #ISIL in #Syria @ today’s @SASCMajority hearing ,republican,16
774,guns,I am heartbroken by the killings of 4 brave Marines in #Chattanooga today. My thoughts and prayers are with their loved ones.,democrat,17
407,isis,I just voted to make the Visa Waiver Program more secure and  close loopholes that could allow terrorists into the U.S. ,republican,13
951,isis,The administration's strategy against  #ISIL in #Syria is failing. Read my op-ed in today's @OWHnews ,republican,13
1381,abort,I voted to redirect fed money to providers of women’s health services other than Planned Parenthood. Bill failed. ,republican,1
1734,isis,ICYMI Here's a clip of my interview on @FaceTheNation with @MajorCBS. Discussed #ISIS and  the situation in #Ukraine.  ,democrat,16
1379,abort,At 5 months an unborn child is developed. These lives deserve same protection lives of other children are given. ,republican,3
1420,isis,REMEMBER terrorists created Gitmo’s image  not actions at Gitmo #NDAA2016,republican,10
523,immig,Thanks to DACA  #DREAMers have been able to contribute more fully to our country as engineers  teachers and  small business owners #DACAworks,democrat,1
1647,immig,We need comprehensive immigration reform  but funding 4 @DHSgov is critical 2 our nation’s safety and  security and  not the place 4 that debate.,democrat,1
193,immig,Republicans will find a long-term immigration solution. Executive action ignoring Congress is the wrong way to do it ,republican,12
663,abort,I am a co-sponsor of the Pain Capable Unborn Child Protection Act  and  I will vote to support it this morning. #Theyfeelpain,republican,3
240,isis,The Senate has passed legislation I support to deny US entry to any UN representative involved in terrorism or other acts against the USA.,republican,13
1355,isis,Joined @SenatorKirk to tell gov't to pause Syrian refugee program until we can detect use of fake ISIS passports. ,republican,7
1077,aca,RT @WhiteHouse: FACT: Up to 129 million Americans with pre-existing conditions can no longer be denied coverage. #ACAWorks ,democrat,8
1484,aca,Tomorrow marks 50 yrs of #Medicare and  #Medicaid providing quality  affordable health care to seniors #KeepingUSHealthy ,democrat,8
1902,guns,Tonight  we vote to prevent gun violence. Will my Republican colleagues finally stand with us to #DisarmHate? ,democrat,13
1241,isis,As we prepare to lead a global strategy to destroy the threat of ISIS  we remember 9/11/01. #NeverForget #PatriotDay ,republican,7
113,immig,FACT: Unlike European nations  Americas tougher process screens refugees 18-24 months before they even set foot on US soil.,democrat,7
1991,abort,Incredibly disappointed the Senate failed to advance the Pain Capable Unborn Child Protection Act  which I've co-sponsored.,republican,12
927,aca,RT @RepDianeBlack: Free smart phones for enrolling in #Obamacare? It happened and  you helped foot the bill. My op-ed in @DCExaminer: ,republican,16
1814,aca,What Kentuckians are saying about #Obamacare. @ United States Capitol ,republican,11
1831,aca,.@SenateMajLdr McConnell oped: 5 Broken Promises Americans Are Remembering On #ObamaCare’s 6th Anniversary  via @INJO,republican,11
2049,aca,Americans can once again begin signing up for health care insurance. Open enrollment into... ,democrat,15
52,abort,Todays @SCOTUS decision in Whole Women’s Health vs. Hellerstedt is a victory for women nationwide. #scotuswatch,democrat,5
